well,ppd_well,expected,acceptable
1994,575,strong,medium
1994,629,strong,medium
1994,688,weak,none;medium
1994,577,none,weak
1994,631,none,weak
601,575,none,weak
601,629,strong,medium
601,688,none,weak
601,631,strong,medium
601,577,weak,none;medium
712,682,strong,medium
712,684,weak,none;medium
712,685,none,weak
712,625,none,weak
712,627,none,weak
624,625,medium,strong;weak
624,684,medium,strong;weak
624,685,none,weak
624,682,none,weak
624,627,none,weak
595,625,medium,strong;weak
595,684,none,weak
595,685,none,weak
595,682,weak,none;medium
595,627,none,weak
1094,1022,medium,strong;weak
1094,1021,medium,strong;weak
1094,1115,weak,none;medium
1094,1073,none,weak
1158,1123,weak,none;medium
1158,1120,none,weak
1158,1140,medium,strong;weak
1158,1174,strong,medium
1158,1176,medium,strong;weak
1158,1218,none,weak
1158,1220,none,weak
1175,1218,weak,none;medium
1175,1220,none,weak
1175,1174,strong,medium
1175,1176,medium,strong;weak
1175,1140,none,weak
1175,1120,none,weak
1175,1123,none,weak
1321,1311,weak,none;medium
1321,1329,weak,none;medium
1321,1325,none,weak
1321,1344,none,weak
1321,1346,none,weak
1335,1311,weak,none;medium
1335,1329,weak,none;medium
1335,1344,medium,strong;weak
1335,1325,weak,none;medium
1335,1346,none,weak
6311,1447,none,weak
6311,5508,none,weak
6311,1459,none,weak
6311,5517,none,weak
1446,1447,medium,strong;weak
1446,1459,strong,medium
1446,5508,none,weak
1446,5517,none,weak
5505,1447,weak,none;medium
5505,1459,medium,strong;weak
5505,5508,strong,medium
5505,5517,none,weak

