oil_well,ppd_well,CI_value,ci_cat,expected,acceptable
1094,1021,16.0,impact,impact,weak
1094,1022,58.9,impact,impact,weak
1094,1073,0.0,none,none,weak
1094,1115,0.0,none,none,impact
1158,1140,66.9,impact,impact,weak
1158,1174,17.5,impact,impact,weak
1158,1176,631.0,impact,impact,weak
1158,1218,0.0,none,none,weak
1175,1140,0.0,none,none,weak
1175,1174,4.2,weak,impact,weak
1175,1176,20.1,impact,impact,weak
1175,1218,0.0,none,none,weak
1175,1220,0.0,none,none,weak
1321,1311,3.5,none,weak,"impact,none"
1321,1325,0.0,none,none,weak
1321,1329,323.4,impact,impact,weak
1321,1344,0.0,none,none,weak
1335,1311,0.0,none,weak,"impact,none"
1335,1325,309.6,impact,impact,weak
1335,1329,8.3,weak,weak,"impact,none"
1335,1344,54.3,impact,impact,weak
1335,1346,0.0,none,none,weak
1430,1447,0.0,none,,
1430,1459,0.0,none,,
1430,5508,0.0,none,,
1446,1447,0.0,none,none,weak
1446,1459,1170.4,impact,impact,weak
1446,5508,0.0,none,none,weak
1446,5517,0.0,none,none,weak
1994,575,331.2,impact,impact,weak
1994,577,0.0,none,weak,"impact,none"
1994,627,0.0,none,,
1994,629,493.2,impact,impact,weak
1994,631,12.0,impact,weak,none
1994,688,0.0,none,none,weak
5505,1447,0.0,none,none,weak
5505,1459,104.8,impact,impact,weak
5505,5508,131.6,impact,impact,weak
5505,5517,0.0,none,none,weak
595,625,11.1,impact,impact,weak
595,627,0.0,none,none,weak
595,682,0.0,none,none,weak
595,684,0.0,none,none,weak
595,685,0.0,none,none,weak
601,575,0.0,none,none,weak
601,577,0.0,none,weak,"impact,none"
601,627,0.0,none,,
601,629,1635.8,impact,impact,weak
601,631,838.2,impact,impact,weak
601,688,0.0,none,none,weak
624,625,24.5,impact,impact,weak
624,627,0.0,none,none,weak
624,682,0.0,none,none,weak
624,684,10.7,impact,impact,weak
624,685,0.0,none,weak,"impact,none"
712,625,0.0,none,none,weak
712,682,489.5,impact,impact,weak
712,684,39.3,impact,weak,"impact,none"
712,685,0.0,none,none,weak
TOTALS,exact=46,nearby=1,miss=12,all=59,accuracy=0.80
