oil_well,ppd_well,distance,corr_cat,ci_cat,final_cat,expected,acceptable
1094,1022,764,none,impact,impact,impact,['weak']
1094,1021,840,none,impact,impact,impact,['weak']
1094,1115,1231,weak,none,none,none,['impact']
1094,1073,1276,none,none,none,none,['weak']
1158,1174,587,weak,impact,impact,impact,['weak']
1158,1176,686,weak,impact,impact,impact,['weak']
1158,1140,795,weak,impact,impact,impact,['weak']
1158,1218,1928,none,none,none,none,['weak']
1175,1174,529,weak,weak,impact,impact,['weak']
1175,1176,695,none,impact,impact,impact,['weak']
1175,1218,1178,none,none,none,none,['weak']
1175,1140,1287,none,none,none,none,['weak']
1175,1220,1403,impact,none,none,none,['weak']
1321,1329,653,none,impact,impact,impact,['weak']
1321,1311,814,weak,none,weak,weak,"['impact,none']"
1321,1325,1919,none,none,none,none,['weak']
1321,1344,1929,impact,none,none,none,['weak']
1335,1325,588,weak,impact,impact,impact,['weak']
1335,1344,728,none,impact,impact,impact,['weak']
1335,1329,894,weak,weak,weak,weak,"['impact,none']"
1335,1311,973,weak,none,weak,weak,"['impact,none']"
1335,1346,1681,weak,none,none,none,['weak']
1446,1459,290,none,impact,impact,impact,['weak']
1446,1447,1088,impact,none,none,none,['weak']
1446,5508,1231,none,none,none,none,['weak']
1446,5517,1816,none,none,none,none,['weak']
1994,629,513,impact,impact,impact,impact,['weak']
1994,575,620,impact,impact,impact,impact,['weak']
1994,631,876,weak,impact,weak,weak,['none']
1994,577,964,weak,none,weak,weak,"['impact,none']"
1994,688,1460,weak,none,none,none,['weak']
5505,1459,631,weak,impact,impact,impact,['weak']
5505,5508,686,weak,impact,impact,impact,['weak']
5505,1447,1274,weak,none,none,none,['weak']
5505,5517,1656,impact,none,none,none,['weak']
595,625,464,weak,impact,impact,impact,['weak']
595,684,1243,impact,none,none,none,['weak']
595,682,1328,none,none,none,none,['weak']
595,627,1507,impact,none,none,none,['weak']
595,685,1521,none,none,none,none,['weak']
601,631,326,none,impact,impact,impact,['weak']
601,629,626,weak,impact,impact,impact,['weak']
601,577,1034,weak,none,weak,weak,"['impact,none']"
601,575,1200,weak,none,none,none,['weak']
601,688,1205,impact,none,none,none,['weak']
624,625,535,impact,impact,impact,impact,['weak']
624,684,638,none,impact,impact,impact,['weak']
624,685,962,weak,none,weak,weak,"['impact,none']"
624,682,1031,impact,none,none,none,['weak']
624,627,1328,none,none,none,none,['weak']
712,682,345,weak,impact,impact,impact,['weak']
712,684,739,none,impact,impact,weak,"['impact,none']"
712,685,1245,weak,none,none,none,['weak']
712,625,1417,none,none,none,none,['weak']
TOTALS,,,,,"exact=53,nearby=0,miss=1,all=54,accuracy=0.98",,
