№ п/п,field,well,Куст,date,q_oil,watercut,p_oil,freq,Tраб(ТМ)
1,Месторождение,595,34,01.07.2023,24,73,233.0,51,14.4
2,Месторождение,595,34,02.07.2023,23,73,233.0,51,14.3
3,Месторождение,595,34,03.07.2023,24,73,233.0,51,14.4
4,Месторождение,595,34,04.07.2023,29,75,233.0,51,14.3
5,Месторождение,595,34,05.07.2023,30,75,233.0,51,14.3
6,Месторождение,595,34,06.07.2023,31,75,233.0,51,14.4
7,Месторождение,595,34,07.07.2023,31,75,233.0,51,11.3
8,Месторождение,595,34,08.07.2023,29,75,233.0,51,14.3
9,Месторождение,595,34,09.07.2023,31,75,233.0,51,14.0
10,Месторождение,595,34,10.07.2023,30,75,233.0,51,14.3
11,Месторождение,595,34,11.07.2023,30,66,233.0,51,14.4
12,Месторождение,595,34,12.07.2023,30,66,233.0,51,14.3
13,Месторождение,595,34,13.07.2023,30,66,233.0,51,14.3
14,Месторождение,595,34,14.07.2023,31,89,233.0,51,14.4
15,Месторождение,595,34,15.07.2023,31,89,233.0,51,14.3
16,Месторождение,595,34,16.07.2023,30,66,233.0,51,14.4
17,Месторождение,595,34,17.07.2023,30,66,233.0,51,14.3
18,Месторождение,595,34,18.07.2023,30,66,233.0,51,13.7
19,Месторождение,595,34,19.07.2023,30,66,233.0,51,14.2
20,Месторождение,595,34,20.07.2023,30,66,233.0,51,13.8
21,Месторождение,595,34,21.07.2023,30,66,233.0,51,14.4
22,Месторождение,595,34,22.07.2023,30,66,233.0,51,14.3
23,Месторождение,595,34,23.07.2023,30,66,233.0,51,14.3
24,Месторождение,595,34,24.07.2023,31,66,233.0,51,13.9
25,Месторождение,595,34,25.07.2023,29,66,233.0,51,14.1
26,Месторождение,595,34,26.07.2023,26,66,233.0,51,13.9
27,Месторождение,595,34,27.07.2023,28,66,233.0,51,13.8
28,Месторождение,595,34,28.07.2023,28,66,233.0,51,13.8
29,Месторождение,595,34,29.07.2023,29,66,233.0,51,13.8
30,Месторождение,595,34,30.07.2023,28,66,233.0,51,13.9
31,Месторождение,595,34,31.07.2023,29,66,233.0,51,13.8
32,Месторождение,595,34,01.08.2023,28,66,233.0,51,13.3
33,Месторождение,595,34,02.08.2023,29,66,233.0,51,13.7
34,Месторождение,595,34,03.08.2023,29,66,233.0,51,13.9
35,Месторождение,595,34,04.08.2023,29,66,233.0,51,13.8
36,Месторождение,595,34,05.08.2023,28,66,233.0,51,13.9
37,Месторождение,595,34,06.08.2023,28,66,233.0,51,16.3
38,Месторождение,595,34,07.08.2023,28,66,233.0,51,13.5
39,Месторождение,595,34,08.08.2023,29,66,233.0,51,13.8
40,Месторождение,595,34,09.08.2023,28,66,233.0,51,13.9
41,Месторождение,595,34,10.08.2023,27,66,233.0,51,13.6
42,Месторождение,595,34,11.08.2023,27,66,233.0,51,13.8
43,Месторождение,595,34,12.08.2023,28,66,233.0,51,13.9
44,Месторождение,595,34,13.08.2023,28,66,233.0,51,13.8
45,Месторождение,595,34,14.08.2023,27,66,233.0,51,13.6
46,Месторождение,595,34,15.08.2023,26,66,233.0,51,13.9
47,Месторождение,595,34,16.08.2023,29,78,233.0,51,13.8
48,Месторождение,595,34,17.08.2023,28,78,233.0,51,14.0
49,Месторождение,595,34,18.08.2023,28,78,233.0,51,14.0
50,Месторождение,595,34,19.08.2023,27,78,233.0,51,13.8
51,Месторождение,595,34,20.08.2023,26,78,233.0,51,13.9
52,Месторождение,595,34,21.08.2023,26,78,233.0,51,13.8
53,Месторождение,595,34,22.08.2023,26,78,233.0,51,13.6
54,Месторождение,595,34,23.08.2023,26,78,233.0,51,13.9
55,Месторождение,595,34,24.08.2023,26,78,233.0,51,13.6
56,Месторождение,595,34,25.08.2023,26,78,233.0,51,13.6
57,Месторождение,595,34,26.08.2023,25,78,233.0,51,14.0
58,Месторождение,595,34,27.08.2023,22,78,233.0,51,13.7
59,Месторождение,595,34,28.08.2023,19,78,233.0,51,12.1
60,Месторождение,595,34,29.08.2023,16,78,233.0,52,6.1
