well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd
595,2023-10-15,31.0,233.0,2023-10-21,29.0,233.0,7,625,2023-10-15,2023-10-22,8
624,2023-10-15,46.0,17.2,2023-10-21,46.0,17.0,7,625,2023-10-15,2023-10-22,8
712,2023-10-15,34.0,17.1,2023-10-21,34.0,17.1,7,625,2023-10-15,2023-10-22,8
595,2023-10-23,29.0,233.0,2023-10-29,29.0,233.0,7,625,2023-10-23,2023-11-16,25
624,2023-10-23,46.0,16.7,2023-10-29,44.0,16.2,7,625,2023-10-23,2023-11-16,25
712,2023-10-23,33.0,17.2,2023-10-29,34.0,17.0,7,625,2023-10-23,2023-11-16,25
595,2023-11-17,30.0,233.0,2023-11-23,30.0,233.0,7,625,2023-11-17,2024-07-31,258
624,2023-11-17,44.0,14.4,2023-11-23,44.0,14.2,7,625,2023-11-17,2024-07-31,258
712,2023-11-17,32.0,17.3,2023-11-23,34.0,17.2,7,625,2023-11-17,2024-07-31,258
595,2024-08-01,97.0,151.0,2024-08-30,92.0,119.6,30,625,2024-08-01,2024-11-18,110
624,2024-08-01,48.0,10.6,2024-08-07,49.0,10.4,7,625,2024-08-01,2024-11-18,110
712,2024-08-01,22.0,16.0,2024-08-07,17.0,14.0,7,625,2024-08-01,2024-11-18,110
595,2024-11-19,91.0,81.5,2024-12-18,71.0,63.6,30,625,2024-11-19,2025-03-10,112
624,2024-11-19,48.0,7.1,2024-11-25,49.0,6.7,7,625,2024-11-19,2025-03-10,112
712,2024-11-19,28.0,12.0,2024-11-25,25.0,11.0,7,625,2024-11-19,2025-03-10,112
595,2025-03-11,72.0,43.1,2025-03-17,78.0,43.0,7,625,2025-03-11,2025-04-02,23
624,2025-03-11,48.0,2.1,2025-03-17,41.0,2.3,7,625,2025-03-11,2025-04-02,23
712,2025-03-11,20.0,11.0,2025-03-17,20.0,10.0,7,625,2025-03-11,2025-04-02,23
595,2025-04-03,63.0,40.3,2025-04-09,64.0,39.4,7,625,2025-04-03,2025-05-01,29
624,2025-04-03,47.0,2.6,2025-04-09,47.0,2.6,7,625,2025-04-03,2025-05-01,29
712,2025-04-03,20.0,10.0,2025-04-09,21.0,9.0,7,625,2025-04-03,2025-05-01,29
1430,2023-07-29,24.0,30.0,2023-08-04,24.0,30.2,7,5508,2023-07-29,2023-08-10,13
1446,2023-07-29,12.0,277.0,2023-08-04,13.0,277.0,7,5508,2023-07-29,2023-08-10,13
5505,2023-07-29,36.0,21.5,2023-08-04,38.0,21.6,7,5508,2023-07-29,2023-08-10,13
1430,2023-08-11,24.0,30.4,2023-08-17,24.0,30.6,7,5508,2023-08-11,2023-09-17,38
1446,2023-08-11,12.0,277.0,2023-08-17,11.0,277.0,7,5508,2023-08-11,2023-09-17,38
5505,2023-08-11,37.0,21.5,2023-08-17,32.0,21.8,7,5508,2023-08-11,2023-09-17,38
1430,2023-09-18,24.0,31.3,2023-09-24,24.0,31.6,7,5508,2023-09-18,2023-10-16,29
1446,2023-09-18,10.0,277.0,2023-09-24,8.0,277.0,7,5508,2023-09-18,2023-10-16,29
5505,2023-09-18,33.0,21.4,2023-09-24,34.0,21.4,7,5508,2023-09-18,2023-10-16,29
1430,2023-10-17,23.0,32.8,2023-10-23,23.0,33.6,7,5508,2023-10-17,2023-10-29,13
1446,2023-10-17,7.0,277.0,2023-10-23,6.0,277.0,7,5508,2023-10-17,2023-10-29,13
5505,2023-10-17,36.0,22.1,2023-10-23,36.0,22.3,7,5508,2023-10-17,2023-10-29,13
1430,2023-10-30,22.0,34.0,2023-11-05,23.0,34.6,7,5508,2023-10-30,2023-11-20,22
1446,2023-10-30,7.0,277.0,2023-11-05,9.0,277.0,7,5508,2023-10-30,2023-11-20,22
5505,2023-10-30,35.0,22.2,2023-11-05,35.0,22.7,7,5508,2023-10-30,2023-11-20,22
1430,2023-11-21,22.0,35.0,2023-11-27,21.0,36.9,7,5508,2023-11-21,2024-01-13,54
1446,2023-11-21,6.0,277.0,2023-11-27,7.0,277.0,7,5508,2023-11-21,2024-01-13,54
5505,2023-11-21,36.0,23.3,2023-11-27,35.0,23.5,7,5508,2023-11-21,2024-01-13,54
1430,2024-01-14,29.0,28.6,2024-01-20,28.0,30.0,7,5508,2024-01-14,2024-01-24,11
1446,2024-01-14,0.0,0.0,2024-01-20,0.0,0.0,7,5508,2024-01-14,2024-01-24,11
5505,2024-01-14,28.0,23.9,2024-01-20,33.0,23.0,7,5508,2024-01-14,2024-01-24,11
1430,2024-01-25,28.0,33.0,2024-02-07,28.0,26.0,14,5508,2024-01-25,2024-02-07,14
1446,2024-01-25,0.0,0.0,2024-01-31,0.0,0.0,7,5508,2024-01-25,2024-02-07,14
5505,2024-01-25,34.0,24.0,2024-01-31,34.0,23.0,7,5508,2024-01-25,2024-02-07,14
1430,2024-02-08,28.0,26.0,2024-03-08,24.0,27.0,30,5508,2024-02-08,2024-03-14,36
1446,2024-02-08,0.0,0.0,2024-02-14,0.0,0.0,7,5508,2024-02-08,2024-03-14,36
5505,2024-02-08,31.0,22.0,2024-02-14,34.0,22.0,7,5508,2024-02-08,2024-03-14,36
1430,2024-03-15,24.0,29.0,2024-04-02,24.0,33.0,19,5508,2024-03-15,2024-04-02,19
1446,2024-03-15,0.0,0.0,2024-03-21,0.0,0.0,7,5508,2024-03-15,2024-04-02,19
5505,2024-03-15,22.0,24.0,2024-03-21,31.0,24.0,7,5508,2024-03-15,2024-04-02,19
1430,2024-04-03,18.0,33.0,2024-04-09,18.0,33.0,7,5508,2024-04-03,2024-05-17,45
1446,2024-04-03,0.0,0.0,2024-04-09,0.0,0.0,7,5508,2024-04-03,2024-05-17,45
