oil_well,ppd_well,distance
1094,1022,764
1094,1021,840
1094,1115,1231
1094,1073,1276
1158,1174,587
1158,1176,686
1158,1140,795
1158,1218,1928
1175,1174,529
1175,1176,695
1175,1218,1178
1175,1140,1287
1175,1220,1403
1321,1329,653
1321,1311,814
1321,1325,1919
1321,1344,1929
1335,1325,588
1335,1344,728
1335,1329,894
1335,1311,973
1335,1346,1681
1430,5508,1302
1430,1459,1463
1430,1447,1485
1446,1459,290
1446,1447,1088
1446,5508,1231
1446,5517,1816
1994,629,513
1994,575,620
1994,631,876
1994,577,964
1994,627,1331
1994,688,1460
5505,1459,631
5505,5508,686
5505,1447,1274
5505,5517,1656
595,625,464
595,684,1243
595,682,1328
595,627,1507
595,685,1521
601,631,326
601,629,626
601,577,1034
601,575,1200
601,688,1205
601,627,1650
624,625,535
624,684,638
624,685,962
624,682,1031
624,627,1328
712,682,345
712,684,739
712,685,1245
712,625,1417
