well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
625,15-10-2023,22-10-2023,0,131,131,131,8
625,23-10-2023,16-11-2023,131,72,72,72,25
625,17-11-2023,31-07-2024,72,154,0,0,258
625,01-08-2024,18-11-2024,154,175,152,195,110
625,19-11-2024,10-03-2025,175,254,0,0,112
625,11-03-2025,02-04-2025,254,236,209,280,23
625,03-04-2025,01-05-2025,236,162,148,198,29
5508,29-07-2023,10-08-2023,247,32,30,35,13
5508,11-08-2023,17-09-2023,32,49,43,54,38
5508,18-09-2023,16-10-2023,49,113,99,121,29
5508,17-10-2023,29-10-2023,113,47,46,47,13
5508,30-10-2023,20-11-2023,47,40,35,45,22
5508,21-11-2023,13-01-2024,40,51,48,53,54
5508,14-01-2024,24-01-2024,51,50,0,0,11
5508,25-01-2024,07-02-2024,50,50,45,54,14
5508,08-02-2024,14-03-2024,50,68,67,72,36
5508,15-03-2024,02-04-2024,68,204,182,261,19
5508,03-04-2024,17-05-2024,204,68,66,70,45
5508,18-05-2024,08-06-2024,68,100,90,120,22
5508,09-06-2024,14-07-2024,100,68,0,0,36
5508,15-07-2024,19-10-2024,68,60,56,67,97
5508,20-10-2024,07-11-2024,60,95,76,103,19
5508,08-11-2024,25-11-2024,95,34,33,37,18
5508,26-11-2024,03-12-2024,34,51,46,57,8
5508,04-12-2024,19-12-2024,51,38,32,42,16
5508,20-12-2024,01-01-2025,38,56,56,56,13
5508,02-01-2025,21-03-2025,56,156,146,175,79
5508,22-03-2025,01-05-2025,156,0,0,0,41
5517,03-07-2023,18-09-2023,0,144,134,155,78
5517,19-09-2023,27-09-2023,144,144,0,0,9
5517,28-09-2023,13-10-2023,144,141,131,154,16
5517,14-10-2023,23-10-2023,141,59,51,62,10
5517,24-10-2023,03-02-2024,59,156,152,160,103
5517,04-02-2024,14-03-2024,156,65,63,66,40
5517,15-03-2024,03-05-2024,65,156,151,172,50
5517,04-05-2024,01-06-2024,156,173,0,0,29
5517,02-06-2024,23-07-2024,173,164,160,166,52
5517,24-07-2024,30-08-2024,164,169,0,0,38
5517,31-08-2024,27-09-2024,169,163,150,178,28
5517,28-09-2024,25-10-2024,163,165,0,0,28
5517,26-10-2024,05-04-2025,165,124,118,135,162
5517,06-04-2025,01-05-2025,124,205,199,213,26
575,30-06-2023,15-10-2023,165,165,0,0,108
575,16-10-2023,01-11-2023,165,165,165,165,17
575,02-11-2023,17-11-2023,165,46,42,47,16
575,18-11-2023,18-02-2024,46,165,165,165,93
575,19-02-2024,11-04-2024,165,269,0,0,53
575,12-04-2024,04-04-2025,269,186,161,211,358
575,05-04-2025,01-05-2025,186,240,222,259,27
627,30-06-2023,13-10-2023,126,125,0,0,106
627,14-10-2023,17-11-2023,125,125,125,125,35
627,18-11-2023,10-02-2024,125,125,0,0,85
627,11-02-2024,01-04-2024,125,125,125,125,51
627,02-04-2024,14-04-2024,125,37,37,37,13
627,15-04-2024,21-07-2024,37,87,78,94,98
627,22-07-2024,29-08-2024,87,105,97,109,39
627,30-08-2024,15-01-2025,105,88,83,94,139
627,16-01-2025,23-01-2025,88,108,102,111,8
627,24-01-2025,27-02-2025,108,146,128,189,35
627,28-02-2025,10-03-2025,146,76,65,79,11
627,11-03-2025,01-05-2025,76,119,107,134,52
629,15-06-2023,10-02-2024,0,241,222,249,241
629,11-02-2024,01-03-2024,241,56,53,60,20
629,02-03-2024,26-06-2024,56,233,202,248,117
629,27-06-2024,21-07-2024,233,187,168,196,25
629,22-07-2024,07-09-2024,187,236,228,249,48
629,08-09-2024,05-10-2024,236,443,0,0,28
629,06-10-2024,26-10-2024,443,443,442,444,21
