well,ppd_well,expected,acceptable
1994,575,impact,weak
1994,629,impact,weak
1994,688,weak,"impact,none"
1994,577,none,weak
1994,631,none,weak
601,575,none,weak
601,629,impact,weak
601,688,none,weak
601,631,impact,weak
601,577,weak,"impact,none"
712,682,impact,weak
712,684,weak,"impact,none"
712,685,none,weak
712,625,none,weak
712,627,none,weak
624,625,impact,weak
624,684,impact,weak
624,685,none,weak
624,682,none,weak
624,627,none,weak
595,625,impact,weak
595,684,none,weak
595,685,none,weak
595,682,weak,"impact,none"
595,627,none,weak
1094,1022,impact,weak
1094,1021,impact,weak
1094,1115,weak,"impact,none"
1094,1073,none,weak
1158,1123,weak,"impact,none"
1158,1120,none,weak
1158,1140,impact,weak
1158,1174,impact,weak
1158,1176,impact,weak
1158,1218,none,weak
1158,1220,none,weak
1175,1218,weak,"impact,none"
1175,1220,none,weak
1175,1174,impact,weak
1175,1176,impact,weak
1175,1140,none,weak
1175,1120,none,weak
1175,1123,none,weak
1321,1311,weak,"impact,none"
1321,1329,weak,"impact,none"
1321,1325,none,weak
1321,1344,none,weak
1321,1346,none,weak
1335,1311,weak,"impact,none"
1335,1329,weak,"impact,none"
1335,1344,impact,weak
1335,1325,weak,"impact,none"
1335,1346,none,weak
6311,1447,none,weak
6311,5508,none,weak
6311,1459,none,weak
6311,5517,none,weak
1446,1447,impact,weak
1446,1459,impact,weak
1446,5508,none,weak
1446,5517,none,weak
5505,1447,weak,"impact,none"
5505,1459,impact,weak
5505,5508,impact,weak
5505,5517,none,weak
